TEXT_2_WARPOD_SQUADRON,#2 Warpod-Staffel
TEXT_2_WARPOD_SQUADRON_HALF,#2 Warpod-Staffel 1/2
TEXT_2_WARPOD_SQUADRON2,#2 Warpod-Staffel x2
TEXT_ABILITY_RETREAT,Notfallrückzug
TEXT_ABILITY_RETREAT_DESCRIPTION,Nach einer Aufladezeit kann diese Einheit einen Notsprung aus dem System machen und zu einem von Ihnen kontrollierten Planeten zurückkehren.
TEXT_AGGRESSOR_ASSAULT_FIGHTER_SQUADRON,Aggressor-Angriffsjäger-Geschwader
TEXT_AGGRESSOR_ASSAULT_FIGHTER_SQUADRON_HALF,Aggressor-Angriffsjäger-Geschwader 1/2
TEXT_AGGRESSOR_ASSAULT_FIGHTER_SQUADRON2,Aggressor-Angriffsjäger-Geschwader x2
TEXT_ARC170_SQUADRON,ARC-170-Staffel
TEXT_ARC170_SQUADRON_HALF,ARC-170-Staffel 1/2
TEXT_ARC170_SQUADRON2,ARC-170-Staffel x2
TEXT_ATL_INTERCEPTOR_SQUADRON,ATL-Abfangjäger-Staffel
TEXT_ATL_INTERCEPTOR_SQUADRON_HALF,ATL-Abfangjäger-Staffel 1/2
TEXT_ATL_INTERCEPTOR_SQUADRON2,ATL-Abfangjäger-Staffel 2x
TEXT_BOSSK_SWAP_DESCRIPTION,Wechsle zwischen Blaster und Flammenwerfer
TEXT_BTLB_Y_WING_SQUADRON,BTL-B-Y-Flügel-Staffel
TEXT_BTLB_Y_WING_SQUADRON_HALF,BTL-B-Y-Flügel-Staffel 1/2
TEXT_BTLB_Y_WING_SQUADRON2,BTL-B-Y-Flügel-Staffel x2
TEXT_BTLS1_Y_WING_SQUADRON,TRANSLATE:BTL-S1 Y-wing Squadron
TEXT_BTLS1_Y_WING_SQUADRON_HALF,TRANSLATE:BTL-S1 Y-wing Squadron 1/2
TEXT_BTLS1_Y_WING_SQUADRON2,TRANSLATE:BTL-S1 Y-wing Squadron x2
TEXT_CITADEL_CRUISER_SQUADRON,Zitadellen-Kreuzergeschwader
TEXT_CLOAKSHAPE_SQUADRON,Cloakshape-Staffel
TEXT_CLOAKSHAPE_SQUADRON_HALF,Cloakshape-Staffel 1/2
TEXT_CLOAKSHAPE_SQUADRON2,Cloakshape-Staffel 2x
TEXT_COMPANY_ARATECH,Aratech Corporation
TEXT_COMPANY_BALMORRAN_ARMS,Balmorran Arms
TEXT_COMPANY_CEC,Corellian Engineering Corporation
TEXT_COMPANY_CLONING_FACILITY,Klonanlage
TEXT_COMPANY_DAMORIAN,Damorian Manufacturing Corporation
TEXT_COMPANY_GARRISON_ARATECH,74-Z-Speederbike-Scout: 2 / 2
TEXT_COMPANY_GARRISON_BALMORRAN_ARMS,SD-6-Hulk-Infanteriedroide: 2 / 2
TEXT_COMPANY_GARRISON_CEC,Örtliches Militärkommando: 1 / 1
TEXT_COMPANY_GARRISON_DAMORIAN,Firmensicherheitstruppen-Trupp: 1 / 1
TEXT_COMPANY_GARRISON_INCOM,Polizei-Vollstrecker-Karabiner-Trupp: 1 / 1
TEXT_COMPANY_GARRISON_KDY,AT-PT-Läufer: 2 / 2
TEXT_COMPANY_GARRISON_MEKUUN,Polizei-Vollstrecker-Karabiner-Trupp: 1 / 1
TEXT_COMPANY_GARRISON_RENDILI,Firmensicherheitstruppen-Trupp: 1 / 1
TEXT_COMPANY_GARRISON_SOROSUUB,Sullustanische Lokalmiliz: 1 / 1
TEXT_COMPANY_GARRISON_TAIM_BAK,Firmensicherheitstruppen-Trupp: 1 / 1
TEXT_COMPANY_GARRISON_UBRIKKIAN,Söldner-Trupp: 1 / 1
TEXT_COMPANY_GARRISON_UULSHOS,Verteidigungstruppen-Antipersonen-Squad: 1 / 1
TEXT_COMPANY_HOERSCH_KESSEL,Hoersch-Kessel Drive, Inc.
TEXT_COMPANY_INCOM,Incom Corporation
TEXT_COMPANY_MEKUUN,Mekuun Corporation
TEXT_COMPANY_SOROSUUB,SoroSuub Corporation
TEXT_COMPANY_TAIM_BAK,Taim & Bak
TEXT_COMPANY_TRANSGALMEG,TransGalMeg Industries
TEXT_COMPANY_UBRIKKIAN,Ubrikkian Industries
TEXT_COMPANY_UULSHOS,Uulshos Manufacturing
TEXT_DWARF_SPIDER_DROID_COMPANY,Dwarf Spider Droid Company
TEXT_DWARF_SPIDER_DROID_SQUAD,Dwarf Spider Droid Squad
TEXT_ECONOMY_VORRU,Fliry Vorru
TEXT_GOZANTI_CRUISER_SQUADRON,Gozanti-Kreuzergeschwader
TEXT_GROUND_UMARKET,Unterirdischer Markt
TEXT_H_WING_SQUADRON,H-wing Staffel
TEXT_H_WING_SQUADRON_HALF,H-wing Staffel 1/2
TEXT_H_WING_SQUADRON2,H-wing Staffel x2
TEXT_HEADHUNTER_BOMBER_SQUADRON,Z-95 Bomber Staffel
TEXT_HEADHUNTER_BOMBER_SQUADRON_HALF,Z-95 Bomber Staffel 1/2
TEXT_HEADHUNTER_BOMBER_SQUADRON2,Z-95 Bomber Staffel x2
TEXT_HEADHUNTER_SQUADRON,Z-95 Staffel
TEXT_HEADHUNTER_SQUADRON_HALF,Z-95 Staffel 1/2
TEXT_HEADHUNTER_SQUADRON2,Z-95 Staffel x2
TEXT_HEADHUNTER_SQUADRON3,Z-95 Staffel x3
TEXT_HERO_BOSSK,Bossk
TEXT_HERO_BOSSK_TEAM,Bossk
TEXT_HERO_DEN_WESSEX,Denn Wessex
TEXT_HERO_DENGAR,Dengar
TEXT_HERO_DENGAR_TEAM,Dengar
TEXT_HERO_DODONNA,Captain Dodonna
TEXT_HERO_DODONNA_TEAM,General Jan Dodonna
TEXT_HERO_EMPEROR_PALPATINE,Emperor Palpatine
TEXT_HERO_FENN_SHYSA,Fenn Shysa
TEXT_HERO_GARM,Garm Bel Iblis
TEXT_HERO_GRANT,Octavian Grant
TEXT_HERO_HAUSER,Lynch Hauser
TEXT_HERO_KEEK,TRANSLATE:Keek
TEXT_HERO_LABANSAT,Labansat
TEXT_HERO_LORKA_GEDYC,Lorka Gedyc
TEXT_HERO_MERAI,Merai
TEXT_HERO_MON_MOTHMA,Mon Mothma
TEXT_HERO_MON_MOTHMA_TEAM,Mon Mothma
TEXT_HERO_OPEN_NR_ADMIRAL,Offene Kommando-Position
TEXT_HERO_OPEN_REPUBLIC_COUNCIL,Offene Jedi-Position
TEXT_HERO_PESTAGE,Sate Pestage
TEXT_HERO_PRAJI,Nahdonnis Praji
TEXT_HERO_TALLON,Adar Tallon
TEXT_HERO_VIEW_ADMIRALS,View Admirals and Captains
TEXT_HERO_VIEW_JEDI,View Jedi
TEXT_HERO_VORRU,Fliry Vorru
TEXT_I_BEAM_SQUADRON,TRANSLATE:I-BEAM Star Fighter Squadron
TEXT_I_BEAM_SQUADRON_HALF,TRANSLATE:I-BEAM Star Fighter Squadron 1/2
TEXT_I_BEAM_SQUADRON2,TRANSLATE:I-BEAM Star Fighter Squadron x2
TEXT_IMPERIAL_ATPT_SQUAD,AT-PT Läufer-Kompanie
TEXT_IMPERIAL_LIGHT_SCOUT_SQUAD,74-Z Speeder Scout-Kompanie
TEXT_LD12_DEFENSE_SATELLITE,LD-12 Verteidigungssatellit
TEXT_MD12_DEFENSE_SATELLITE,MD-12 Verteidigungssatellit
TEXT_MORNINGSTAR_A_SQUADRON,MorningStar-A Sternenjäger-Staffel
