BOARDING_KATANA,Boarding hat begonnen...
BOARDING_SUCCESSFUL,Boarding erfolgreich, Dreadnaught erobert.
GW_CSA_AAA,TRANSLATE:Strengthened Security Patrol 
GW_CSA_AAB,TRANSLATE:Corporate Security Squad
GW_CSA_AAC,TRANSLATE:Planetary Pacification Force
GW_CSA_AAD,TRANSLATE:Heavy Rapid Reaction Force
GW_CSA_AAE,TRANSLATE:Urban Patrol Squads
GW_CSA_AAF,TRANSLATE:CSA Droid Combat Formation
GW_CSA_AAG,TRANSLATE:Major Riot Control Team
GW_CSA_AAH,TRANSLATE:High Mobility Defence Force
GW_CSA_AAI,TRANSLATE:Light Air Support Wing
GW_CSA_AAJ,TRANSLATE:Heavy Air Support Wing
GW_CSA_AAK,TRANSLATE:Debt Collection Assault Company
GW_CSA_AAL,TRANSLATE:Insurrection Pacification Task Force. 
GW_CSA_AAM,TRANSLATE:Long Range Suppression Team
GW_CSA_AAN,TRANSLATE:Heavy Assault Liquidation Group
GW_CSA_AAO,TRANSLATE:Planetary Acquisition Force
GW_CSA_AAP,TRANSLATE:Reinforced Espo Line Company
GW_EA_AAA,TRANSLATE:Eriadu Authority Army Platoon
GW_EA_AAB,TRANSLATE:Eriadu Authority Army Detachment
GW_EA_AAC,TRANSLATE:Eriadu Authority Independent Recon Platoon.
GW_EA_AAD,TRANSLATE:Army Special Missions Attachment Platoon
GW_EA_AAE,TRANSLATE:Eriadu Authority Support Platoon
GW_EA_AAF,TRANSLATE:Eriadu Authority Light Armoured Platoon
GW_EA_AAG,TRANSLATE:Eriadu Authority Forward Light Artillery Battery
GW_EA_AAH,TRANSLATE:Eriadu Authority Light Reconnaissance Platoon
GW_EA_AAI,TRANSLATE:Eriadu Authority Intelligence Raid Team
GW_EA_AAJ,TRANSLATE:Eriadu Authority Intelligence Assault Team
GW_EA_AAK,TRANSLATE:Eriadu Authority Assisted Army Special Missions Platoon
GW_EA_AAL,TRANSLATE:Eriadu Light Repulsor Squad
GW_EA_AAM,TRANSLATE:Eriadu Aerial Artillery Group
GW_EA_AAN,TRANSLATE:Eriadu Authority Anti Air Battery
GW_EA_AAO,TRANSLATE:Eriadu Authority Heavy Repulsortank Company
GW_EA_AAP,TRANSLATE:Eriadu Authority Heavy Air Wing
GW_EA_AAQ,TRANSLATE:Eriadu Authority Artillery Battery
GW_EA_AAR,TRANSLATE:Eriadu Authority Heavy Walker Assault Company. 
GW_EA_AAS,TRANSLATE:Eriadu Authority Advanced Command And Fire Base.
GW_EA_AAT,TRANSLATE:Special Missions Company
GW_EA_AAU,TRANSLATE:Augmented Special Missions Company
GW_EOTH_AAA,TRANSLATE:House Phalanx Platoon
GW_EOTH_AAB,TRANSLATE:House Phalanx Support Detachment
GW_EOTH_AAC,TRANSLATE:EOTH Infantry Extermination Squadron
GW_EOTH_AAD,TRANSLATE:Augmented House Phalanx Platoon
GW_EOTH_AAE,TRANSLATE:EOTH House Anti Air Squadron
GW_EOTH_AAF,TRANSLATE:EOTH House Medium Armour Squadron
GW_EOTH_AAG,TRANSLATE:EOTH House Air Combat Wing
GW_EOTH_AAH,TRANSLATE:EOTH House Artillery Squadron
GW_EOTH_AAI,TRANSLATE:EOTH House Heavy Armour Squadron
GW_GM_AAA,TRANSLATE:Greater Maldrood Army Platoon
GW_GM_AAB,TRANSLATE:Greater Maldrood Army Detachment
GW_GM_AAC,TRANSLATE:Greater Maldrood Light Recon Sweep
GW_GM_AAD,TRANSLATE:Greater Maldrood Support Platoon
GW_GM_AAE,TRANSLATE:Mechanised Spearhead Lance
GW_GM_AAF,TRANSLATE:Mechanised Light Cavalry Squadron
GW_GM_AAG,TRANSLATE:Greater Maldrood Anti Air Battery
GW_GM_AAH,TRANSLATE:Greater Maldrood Aerial Recon Group
GW_GM_AAI,TRANSLATE:Greater Maldrood Cavalry Troop
GW_GM_AAJ,TRANSLATE:Intelligence Security Bureau Raid Task Force
GW_GM_AAK,TRANSLATE:Greater Maldrood Elite Assault Task Group
GW_GM_AAL,TRANSLATE:Imperial Intelligence Security Bureau Support Team.
GW_GM_AAM,TRANSLATE:Greater Maldrood Mechanised Assault Platoon
GW_GM_AAN,TRANSLATE:Greater Maldrood Airborne Sniper Detachment
GW_GM_AAO,TRANSLATE:Greater Maldrood Artillery Battery
GW_GM_AAP,TRANSLATE:Greater Maldrood Heavy Armoured Assault Platoon
GW_GM_AAQ,TRANSLATE:Greater Maldrood Elite Airborne Assault Platoon
GW_GM_AAR,TRANSLATE:Greater Maldrood Line Mechanised Squadron
GW_GM_AAS,TRANSLATE:Bolstered Mechanised Light Cavalry Squadron
GW_HAPES_AAA,TRANSLATE:TODO
GW_HAPES_AAB,TRANSLATE:TODO
GW_HAPES_AAC,TRANSLATE:TODO
GW_HAPES_AAD,TRANSLATE:TODO
GW_HAPES_AAE,TRANSLATE:TODO
GW_HAPES_AAF,TRANSLATE:TODO
GW_HAPES_AAG,TRANSLATE:TODO
GW_HAPES_AAH,TRANSLATE:TODO
GW_HAPES_AAI,TRANSLATE:TODO
GW_HAPES_AAJ,TRANSLATE:TODO
GW_HAPES_AAK,TRANSLATE:TODO
GW_HAPES_AAL,TRANSLATE:TODO
GW_IR_AAA,Erschöpfte Imperialer Angriffsplatoon
GW_IR_AAB,Imperialer Garnisonsstützpunkt
GW_IR_AAC,Imperialer Armeelinien-Platoon
GW_IR_AAD,Imperialer Nachschubtrupp
GW_IR_AAE,Imperialer Sturmtruppen-Platoon
GW_IR_AAF,Leichter Panzer-Platoon
GW_IR_AAG,Imperialer Kettenfahrzeug-Angriffstrupp
GW_IR_AAH,Fernspähertruppe für Langstreckenaufklärung
GW_IR_AAI,Imperialer Scout-Truppen-Kampftrupp.
GW_IR_AAJ,Imperialer Sturmtruppen-Angriffstrupp
GW_IR_AAK,Imperialer Flugabwehrbatterie
GW_IR_AAL,Erschöpfter mittelschwerer Imperialer Panzer-Platoon
GW_IR_AAM,Imperialer Luftlande-Spähtrupp
GW_IR_AAN,Imperialer Läufer-Platoon
GW_IR_AAO,Blackhole-Angriffsgruppe
GW_IR_AAP,Imperialer Läufer-Angriffstrupp
GW_IR_AAQ,Imperialer mechanisierter Infanterie-Platoon
GW_IR_AAR,Imperialer Artillerie-Detachement
GW_IR_AAS,Imperialer Elite-Schnellreaktionsabschnitt.
GW_IR_AAT,Elite Imperialer Läufer-Angriffsabschnitt
GW_IR_AAU,Dark-Imperium-Elite-Fahrzeugabschnitt.
GW_IR_AAV,Imperialer Luftlande-Angriffsplatoon
GW_IR_AAX,TRANSLATE:Elite Imperial Walker Assault Section
GW_IR_AAY,TRANSLATE:Dark Empire Elite Vehicle Section.
GW_IR_AAZ,TRANSLATE:Imperial Airborne Assault Platoon
GW_IR_ABA,TRANSLATE:Refitted Imperial Walker Assault Force
GW_NR_AAA,Früher New-Republic-Angriffsplatoon
GW_NR_AAB,Früher New-Republic-Verstärkter Gewehr-Platoon
